Sample,Sample_name,Sample_id,Core,Microhabitat,Rotation,Replicates,Layer,Rotlayer,Depth_cm,Group,C,N,Ngkg,SoilMoisture
S105W1a1RA,WR1L1RA,WR1L1,C1,RA,WR,WR1,L1,WRL1,0-15,WRL1RA,1.344,0.161,1.61,0.2
S106W1a1RH,WR1L1RH,WR1L1,C1,RH,WR,WR1,L1,WRL1,0-15,WRL1RH,1.365,0.161,1.61,0.21
S107W1a1RP,WR1L1RP,WR1L1,C1,RP,WR,WR1,L1,WRL1,0-15,WRL1RP,1.36,0.164,1.64,0.2
S108W1b1RA,WR1L2RA,WR1L2,C1,RA,WR,WR1,L2,WRL2,15-30,WRL2RA,1.311,0.142,1.42,0.23
S109W1b1RH,WR1L2RH,WR1L2,C1,RH,WR,WR1,L2,WRL2,15-30,WRL2RH,1.316,0.142,1.42,0.22
S110W1b1RP,WR1L2RP,WR1L2,C1,RP,WR,WR1,L2,WRL2,15-30,WRL2RP,1.312,0.15,1.5,0.22
S111W1c1RA,WR1L3RA,WR1L3,C1,RA,WR,WR1,L3,WRL3,30-60,WRL3RA,0.653,0.076,0.76,0.23
S112W1c1RH,WR1L3RH,WR1L3,C1,RH,WR,WR1,L3,WRL3,30-60,WRL3RH,0.666,0.082,0.82,0.22
S113W1c1RP,WR1L3RP,WR1L3,C1,RP,WR,WR1,L3,WRL3,30-60,WRL3RP,0.578,0.081,0.81,0.2
S114W1d1RA,WR1L4RA,WR1L4,C1,RA,WR,WR1,L4,WRL4,60-90,WRL4RA,NA,NA,NA,0.23
S115W1d1RH,WR1L4RH,WR1L4,C1,RH,WR,WR1,L4,WRL4,60-90,WRL4RH,NA,NA,NA,0.23
S116W1d1RP,WR1L4RP,WR1L4,C1,RP,WR,WR1,L4,WRL4,60-90,WRL4RP,NA,NA,NA,0.19
S117W1e1RA,WR1L5RA,WR1L5,C1,RA,WR,WR1,L5,WRL5,90-120,WRL5RA,NA,NA,NA,0.28
S118W1e1RH,WR1L5RH,WR1L5,C1,RH,WR,WR1,L5,WRL5,90-120,WRL5RH,NA,NA,NA,0.26
S119W1e1RP,WR1L5RP,WR1L5,C1,RP,WR,WR1,L5,WRL5,90-120,WRL5RP,NA,NA,NA,0.26
S120W1a2RA,WR2L1RA,WR2L1,C2,RA,WR,WR2,L1,WRL1,0-15,WRL1RA,1.344,0.161,1.61,0.2
S121W1a2RH,WR2L1RH,WR2L1,C2,RH,WR,WR2,L1,WRL1,0-15,WRL1RH,1.365,0.161,1.61,0.21
S122W1a2RP,WR2L1RP,WR2L1,C2,RP,WR,WR2,L1,WRL1,0-15,WRL1RP,1.36,0.164,1.64,0.2
S123W1b2RA,WR2L2RA,WR2L2,C2,RA,WR,WR2,L2,WRL2,15-30,WRL2RA,1.311,0.142,1.42,0.23
S124W1b2RH,WR2L2RH,WR2L2,C2,RH,WR,WR2,L2,WRL2,15-30,WRL2RH,1.316,0.142,1.42,0.22
S125W1b2RP,WR2L2RP,WR2L2,C2,RP,WR,WR2,L2,WRL2,15-30,WRL2RP,1.312,0.15,1.5,0.22
S126W1c2RA,WR2L3RA,WR2L3,C2,RA,WR,WR2,L3,WRL3,30-60,WRL3RA,0.653,0.076,0.76,0.23
S127W1c2RH,WR2L3RH,WR2L3,C2,RH,WR,WR2,L3,WRL3,30-60,WRL3RH,0.666,0.082,0.82,0.22
S128W1c2RP,WR2L3RP,WR2L3,C2,RP,WR,WR2,L3,WRL3,30-60,WRL3RP,0.578,0.081,0.81,0.2
S129W1d2RA,WR2L4RA,WR2L4,C2,RA,WR,WR2,L4,WRL4,60-90,WRL4RA,NA,NA,NA,0.23
S130W1d2RH,WR2L4RH,WR2L4,C2,RH,WR,WR2,L4,WRL4,60-90,WRL4RH,NA,NA,NA,0.23
S131W1d2RP,WR2L4RP,WR2L4,C2,RP,WR,WR2,L4,WRL4,60-90,WRL4RP,NA,NA,NA,0.19
S132W1e2RA,WR2L5RA,WR2L5,C2,RA,WR,WR2,L5,WRL5,90-120,WRL5RA,NA,NA,NA,0.28
S133W1e2RH,WR2L5RH,WR2L5,C2,RH,WR,WR2,L5,WRL5,90-120,WRL5RH,NA,NA,NA,0.26
S134W1e2RP,WR2L5RP,WR2L5,C2,RP,WR,WR2,L5,WRL5,90-120,WRL5RP,NA,NA,NA,0.26
S135W2a1RA,WR3L1RA,WR3L1,C3,RA,WR,WR3,L1,WRL1,0-15,WRL1RA,1.517,0.159,1.59,0.19
S136W2a1RH,WR3L1RH,WR3L1,C3,RH,WR,WR3,L1,WRL1,0-15,WRL1RH,1.228,0.153,1.53,0.2
S137W2a1RP,WR3L1RP,WR3L1,C3,RP,WR,WR3,L1,WRL1,0-15,WRL1RP,1.145,0.144,1.44,0.18
S138W2b1RA,WR3L2RA,WR3L2,C3,RA,WR,WR3,L2,WRL2,15-30,WRL2RA,1.242,0.136,1.36,0.23
S139W2b1RH,WR3L2RH,WR3L2,C3,RH,WR,WR3,L2,WRL2,15-30,WRL2RH,1.216,0.138,1.38,0.23
S140W2b1RP,WR3L2RP,WR3L2,C3,RP,WR,WR3,L2,WRL2,15-30,WRL2RP,1.092,0.13,1.3,0.23
S141W2c1RA,WR3L3RA,WR3L3,C3,RA,WR,WR3,L3,WRL3,30-60,WRL3RA,0.327,0.065,0.65,0.25
S142W2c1RH,WR3L3RH,WR3L3,C3,RH,WR,WR3,L3,WRL3,30-60,WRL3RH,0.554,0.063,0.63,0.24
S143W2c1RP,WR3L3RP,WR3L3,C3,RP,WR,WR3,L3,WRL3,30-60,WRL3RP,0.564,0.079,0.79,0.23
S144W2d1RA,WR3L4RA,WR3L4,C3,RA,WR,WR3,L4,WRL4,60-90,WRL4RA,NA,NA,NA,0.24
S145W2d1RH,WR3L4RH,WR3L4,C3,RH,WR,WR3,L4,WRL4,60-90,WRL4RH,NA,NA,NA,0.24
S146W2d1RP,WR3L4RP,WR3L4,C3,RP,WR,WR3,L4,WRL4,60-90,WRL4RP,NA,NA,NA,0.22
S147W2e1RA,WR3L5RA,WR3L5,C3,RA,WR,WR3,L5,WRL5,90-120,WRL5RA,NA,NA,NA,0.27
S148W2e1RH,WR3L5RH,WR3L5,C3,RH,WR,WR3,L5,WRL5,90-120,WRL5RH,NA,NA,NA,0.3
S149W2e1RP,WR3L5RP,WR3L5,C3,RP,WR,WR3,L5,WRL5,90-120,WRL5RP,NA,NA,NA,0.27
S150W2a2RA,WR4L1RA,WR4L1,C4,RA,WR,WR4,L1,WRL1,0-15,WRL1RA,1.344,0.161,1.61,0.2
S151W2a2RH,WR4L1RH,WR4L1,C4,RH,WR,WR4,L1,WRL1,0-15,WRL1RH,1.365,0.161,1.61,0.21
S152W2a2RP,WR4L1RP,WR4L1,C4,RP,WR,WR4,L1,WRL1,0-15,WRL1RP,1.36,0.164,1.64,0.2
S153W2b2RA,WR4L2RA,WR4L2,C4,RA,WR,WR4,L2,WRL2,15-30,WRL2RA,1.311,0.142,1.42,0.23
S154W2b2RH,WR4L2RH,WR4L2,C4,RH,WR,WR4,L2,WRL2,15-30,WRL2RH,1.316,0.142,1.42,0.22
S155W2b2RP,WR4L2RP,WR4L2,C4,RP,WR,WR4,L2,WRL2,15-30,WRL2RP,1.312,0.15,1.5,0.22
S156W2c2RA,WR4L3RA,WR4L3,C4,RA,WR,WR4,L3,WRL3,30-60,WRL3RA,0.653,0.076,0.76,0.23
S157W2c2RH,WR4L3RH,WR4L3,C4,RH,WR,WR4,L3,WRL3,30-60,WRL3RH,0.666,0.082,0.82,0.22
S158W2c2RP,WR4L3RP,WR4L3,C4,RP,WR,WR4,L3,WRL3,30-60,WRL3RP,0.578,0.081,0.81,0.2
S159W2d2RA,WR4L4RA,WR4L4,C4,RA,WR,WR4,L4,WRL4,60-90,WRL4RA,NA,NA,NA,0.23
S160W2d2RH,WR4L4RH,WR4L4,C4,RH,WR,WR4,L4,WRL4,60-90,WRL4RH,NA,NA,NA,0.23
S161W2d2RP,WR4L4RP,WR4L4,C4,RP,WR,WR4,L4,WRL4,60-90,WRL4RP,NA,NA,NA,0.19
S162W2e2RA,WR4L5RA,WR4L5,C4,RA,WR,WR4,L5,WRL5,90-120,WRL5RA,NA,NA,NA,0.28
S163W2e2RH,WR4L5RH,WR4L5,C4,RH,WR,WR4,L5,WRL5,90-120,WRL5RH,NA,NA,NA,0.26
S164W2e2RP,WR4L5RP,WR4L5,C4,RP,WR,WR4,L5,WRL5,90-120,WRL5RP,NA,NA,NA,0.26
S165WM1a1RA,WM1L1RA,WM1L1,C5,RA,WM,WM1,L1,WML1,0-15,WML1RA,1.719,0.175,1.75,0.17
S166WM1a1RH,WM1L1RH,WM1L1,C5,RH,WM,WM1,L1,WML1,0-15,WML1RH,1.298,0.155,1.55,0.21
S167WM1a1RP,WM1L1RP,WM1L1,C5,RP,WM,WM1,L1,WML1,0-15,WML1RP,1.198,0.145,1.45,0.18
S168WM1b1RA,WM1L2RA,WM1L2,C5,RA,WM,WM1,L2,WML2,15-30,WML2RA,1.455,0.15,1.5,0.21
S169WM1b1RH,WM1L2RH,WM1L2,C5,RH,WM,WM1,L2,WML2,15-30,WML2RH,1.266,0.141,1.41,0.24
S170WM1b1RP,WM1L2RP,WM1L2,C5,RP,WM,WM1,L2,WML2,15-30,WML2RP,1.16,0.132,1.32,0.21
S171WM1c1RA,WM1L3RA,WM1L3,C5,RA,WM,WM1,L3,WML3,30-60,WML3RA,1.455,0.15,1.5,0.22
S172WM1c1RH,WM1L3RH,WM1L3,C5,RH,WM,WM1,L3,WML3,30-60,WML3RH,1.266,0.141,1.41,0.25
S173WM1c1RP,WM1L3RP,WM1L3,C5,RP,WM,WM1,L3,WML3,30-60,WML3RP,1.16,0.132,1.32,0.19
S174WM1d1RA,WM1L4RA,WM1L4,C5,RA,WM,WM1,L4,WML4,60-90,WML4RA,NA,NA,NA,0.24
S175WM1d1RH,WM1L4RH,WM1L4,C5,RH,WM,WM1,L4,WML4,60-90,WML4RH,NA,NA,NA,0.25
S176WM1d1RP,WM1L4RP,WM1L4,C5,RP,WM,WM1,L4,WML4,60-90,WML4RP,NA,NA,NA,0.2
S177WM1e1RA,WM1L5RA,WM1L5,C5,RA,WM,WM1,L5,WML5,90-120,WML5RA,NA,NA,NA,0.28
S178WM1e1RH,WM1L5RH,WM1L5,C5,RH,WM,WM1,L5,WML5,90-120,WML5RH,NA,NA,NA,0.28
S179WM1e1RP,WM1L5RP,WM1L5,C5,RP,WM,WM1,L5,WML5,90-120,WML5RP,NA,NA,NA,0.24
S180WM1a2RA,WM2L1RA,WM2L1,C6,RA,WM,WM2,L1,WML1,0-15,WML1RA,1.719,0.175,1.75,0.17
S181WM1a2RH,WM2L1RH,WM2L1,C6,RH,WM,WM2,L1,WML1,0-15,WML1RH,1.298,0.155,1.55,0.21
S182WM1a2RP,WM2L1RP,WM2L1,C6,RP,WM,WM2,L1,WML1,0-15,WML1RP,1.198,0.145,1.45,0.18
S183WM1b2RA,WM2L2RA,WM2L2,C6,RA,WM,WM2,L2,WML2,15-30,WML2RA,1.455,0.15,1.5,0.21
S184WM1b2RH,WM2L2RH,WM2L2,C6,RH,WM,WM2,L2,WML2,15-30,WML2RH,1.266,0.141,1.41,0.24
S185WM1b2RP,WM2L2RP,WM2L2,C6,RP,WM,WM2,L2,WML2,15-30,WML2RP,1.16,0.132,1.32,0.21
S186WM1c2RA,WM2L3RA,WM2L3,C6,RA,WM,WM2,L3,WML3,30-60,WML3RA,1.455,0.15,1.5,0.22
S187WM1c2RH,WM2L3RH,WM2L3,C6,RH,WM,WM2,L3,WML3,30-60,WML3RH,1.266,0.141,1.41,0.25
S188WM1c2RP,WM2L3RP,WM2L3,C6,RP,WM,WM2,L3,WML3,30-60,WML3RP,1.16,0.132,1.32,0.19
S189WM1d2RA,WM2L4RA,WM2L4,C6,RA,WM,WM2,L4,WML4,60-90,WML4RA,NA,NA,NA,0.24
S190WM1d2RH,WM2L4RH,WM2L4,C6,RH,WM,WM2,L4,WML4,60-90,WML4RH,NA,NA,NA,0.25
S191WM1d2RP,WM2L4RP,WM2L4,C6,RP,WM,WM2,L4,WML4,60-90,WML4RP,NA,NA,NA,0.2
S192WM1e2RA,WM2L5RA,WM2L5,C6,RA,WM,WM2,L5,WML5,90-120,WML5RA,NA,NA,NA,0.28
S193WM1e2RH,WM2L5RH,WM2L5,C6,RH,WM,WM2,L5,WML5,90-120,WML5RH,NA,NA,NA,0.28
S194WM1e2RP,WM2L5RP,WM2L5,C6,RP,WM,WM2,L5,WML5,90-120,WML5RP,NA,NA,NA,0.24
S195WM3a1RA,WM3L1RA,WM3L1,C7,RA,WM,WM3,L1,WML1,0-15,WML1RA,1.719,0.175,1.75,0.17
S196WM3a1RH,WM3L1RH,WM3L1,C7,RH,WM,WM3,L1,WML1,0-15,WML1RH,1.298,0.155,1.55,0.21
S197WM3a1RP,WM3L1RP,WM3L1,C7,RP,WM,WM3,L1,WML1,0-15,WML1RP,1.198,0.145,1.45,0.18
S198WM3b1RA,WM3L2RA,WM3L2,C7,RA,WM,WM3,L2,WML2,15-30,WML2RA,1.455,0.15,1.5,0.21
S199WM3b1RH,WM3L2RH,WM3L2,C7,RH,WM,WM3,L2,WML2,15-30,WML2RH,1.266,0.141,1.41,0.24
S200WM3b1RP,WM3L2RP,WM3L2,C7,RP,WM,WM3,L2,WML2,15-30,WML2RP,1.16,0.132,1.32,0.21
S201WM3c1RA,WM3L3RA,WM3L3,C7,RA,WM,WM3,L3,WML3,30-60,WML3RA,1.455,0.15,1.5,0.22
S202WM3c1RH,WM3L3RH,WM3L3,C7,RH,WM,WM3,L3,WML3,30-60,WML3RH,1.266,0.141,1.41,0.25
S203WM3c1RP,WM3L3RP,WM3L3,C7,RP,WM,WM3,L3,WML3,30-60,WML3RP,1.16,0.132,1.32,0.19
S204WM3d1RA,WM3L4RA,WM3L4,C7,RA,WM,WM3,L4,WML4,60-90,WML4RA,NA,NA,NA,0.24
S205WM3d1RH,WM3L4RH,WM3L4,C7,RH,WM,WM3,L4,WML4,60-90,WML4RH,NA,NA,NA,0.25
S206WM3d1RP,WM3L4RP,WM3L4,C7,RP,WM,WM3,L4,WML4,60-90,WML4RP,NA,NA,NA,0.2
S207WM3e1RA,WM3L5RA,WM3L5,C7,RA,WM,WM3,L5,WML5,90-120,WML5RA,NA,NA,NA,0.28
S208WM3e1RH,WM3L5RH,WM3L5,C7,RH,WM,WM3,L5,WML5,90-120,WML5RH,NA,NA,NA,0.28
S209WM3e1RP,WM3L5RP,WM3L5,C7,RP,WM,WM3,L5,WML5,90-120,WML5RP,NA,NA,NA,0.24
S210WM3a2RA,WM4L1RA,WM4L1,C8,RA,WM,WM4,L1,WML1,0-15,WML1RA,1.719,0.175,1.75,0.17
S211WM3a2RH,WM4L1RH,WM4L1,C8,RH,WM,WM4,L1,WML1,0-15,WML1RH,1.298,0.155,1.55,0.21
S212WM3a2RP,WM4L1RP,WM4L1,C8,RP,WM,WM4,L1,WML1,0-15,WML1RP,1.198,0.145,1.45,0.18
S213WM3b2RA,WM4L2RA,WM4L2,C8,RA,WM,WM4,L2,WML2,15-30,WML2RA,1.455,0.15,1.5,0.21
S214WM3b2RH,WM4L2RH,WM4L2,C8,RH,WM,WM4,L2,WML2,15-30,WML2RH,1.266,0.141,1.41,0.24
S215WM3b2RP,WM4L2RP,WM4L2,C8,RP,WM,WM4,L2,WML2,15-30,WML2RP,1.16,0.132,1.32,0.21
S216WM3c2RA,WM4L3RA,WM4L3,C8,RA,WM,WM4,L3,WML3,30-60,WML3RA,1.455,0.15,1.5,0.22
S217WM3c2RH,WM4L3RH,WM4L3,C8,RH,WM,WM4,L3,WML3,30-60,WML3RH,1.266,0.141,1.41,0.25
S218WM3c2RP,WM4L3RP,WM4L3,C8,RP,WM,WM4,L3,WML3,30-60,WML3RP,1.16,0.132,1.32,0.19
S219WM3d2RA,WM4L4RA,WM4L4,C8,RA,WM,WM4,L4,WML4,60-90,WML4RA,NA,NA,NA,0.24
S220WM3d2RH,WM4L4RH,WM4L4,C8,RH,WM,WM4,L4,WML4,60-90,WML4RH,NA,NA,NA,0.25
S221WM3d2RP,WM4L4RP,WM4L4,C8,RP,WM,WM4,L4,WML4,60-90,WML4RP,NA,NA,NA,0.2
S222WM3e2RA,WM4L5RA,WM4L5,C8,RA,WM,WM4,L5,WML5,90-120,WML5RA,NA,NA,NA,0.28
S223WM3e2RH,WM4L5RH,WM4L5,C8,RH,WM,WM4,L5,WML5,90-120,WML5RH,NA,NA,NA,0.28
S224WM3e2RP,WM4L5RP,WM4L5,C8,RP,WM,WM4,L5,WML5,90-120,WML5RP,NA,NA,NA,0.24